,Sender,Receiver
513,JCadeCirca1450,Conservatives
514,MannyMontanaro,islingtongztte
515,josiahmortimer,FinancialNews
516,LoquorZoe,NorthamptonXR
517,Sweetling,Mondoweiss
518,Sweetling,Jonathan_K_Cook
519,Sweetling,GretaThunberg
520,AlisonDPhillip2,ViscountBraith1
521,OccuWorld,ExtinctionR
522,JCadeCirca1450,JCadeCirca1450
523,JCadeCirca1450,AndySim49184193
524,JCadeCirca1450,LMY746
525,Mondoweiss,Jonathan_K_Cook
526,Mondoweiss,GretaThunberg
527,MattWPBS,SussexFriends
528,canonjpemberton,mthr_jo
529,canonjpemberton,1662PrayerBook
530,psychicwaffles,GlumBird
531,G_Mariiie,michaelastracha
532,G_Mariiie,ChrisGPackham
533,redot2005,PopResistance
534,femlxla,MrMatthewTodd
535,GrahamF_1956,welham_philip
536,GrahamF_1956,C4Dispatches
537,Euterpeaventure,tveitdal
538,JuneTranmer,CarolineLucas
539,rossthomson26,SusanRi38784627
540,rossthomson26,Macetrain
541,rossthomson26,rossthomson26
542,RonanHarrington,whatisemerging
543,RonanHarrington,ExtinctionR
544,MUMOONXIANSHENG,Yuumei_Art
545,0606Green,ViscountBraith1
546,SueAuthor,XR_Toronto
547,tweetyMs_K,XRIslington
548,tweetyMs_K,IslingtonBC
549,Robin_Hagues,majeedneky
550,Robin_Hagues,wallaceme
551,urbangenii,ExtinctionR
552,Gbushuk65Bush,Gbushuk65Bush
553,Gbushuk65Bush,uk_rants
554,Gbushuk65Bush,RayUngerer
555,Gbushuk65Bush,brexitparty_uk
556,Gbushuk65Bush,UKLabour
557,Gbushuk65Bush,TheGreenParty
558,Gbushuk65Bush,JCadeCirca1450
559,Gbushuk65Bush,AndySim49184193
560,Gbushuk65Bush,LMY746
561,Capt_Cavewoman,TimScottUK
562,latestbill,CarolineLucas
563,AgosBetta,ExtinctionR
564,helenafmckeown,XRIslington
565,helenafmckeown,IslingtonBC
566,JCadeCirca1450,AndySim49184193
567,JCadeCirca1450,LMY746
568,sgc58,LSTateAuthor
569,sgc58,lisette_auton
570,sgc58,ClimateCultures
571,sgc58,sgc58
572,sgc58,ExtinctionR_DE
573,sgc58,StagingCha
574,FozzyClaire78,WriterDMCollins
575,zerohour_uk,CiaranJOCarroll
576,OwenKellogg1,acedoh75
577,OwenKellogg1,Manning4USCong
578,OwenKellogg1,ewarren
579,XRIslington,IslingtonBC
580,Iamfluid,ExtinctionR
581,brayley_small,CiaranJOCarroll
582,MichaelKing149,alexforeurope
583,MichaelKing149,Independent
584,StandUpThought,BenPBradshaw
585,martinrausch14,tomatlee
586,martinrausch14,greenpeace
587,twistedblaster,YouTube
588,_dianamorrissey,CarolineLucas
589,susie_alegre,alexforeurope
590,susie_alegre,GMB
591,EfraimGregory,alexforeurope
592,EfraimGregory,Independent
593,casaecovillage,XRBristol
594,JennyPickerill,Langers57
595,jwwdnbts,PriceofOil
596,jwwdnbts,BP_plc
597,jwwdnbts,the_
598,JackieRead,CarolineLucas
599,Lawyer_A_Ho,richardjpyne
600,Lawyer_A_Ho,ChuHoiDick
601,wbdlondon,brendonkenny
602,ArgyllButeGreen,alexforeurope
603,ArgyllButeGreen,Independent
604,transitionface,XrSouth
605,transitionface,XrSouth
606,transitionface,radioadelaide
607,transitionface,Ext
608,InsightEdgeUK,JackMLeith
609,InsightEdgeUK,InsightEdgeUK
610,ProRite_ltd,brendonkenny
611,billharpley,CarolineLucas
612,TarnRJ,GeorgeMonbiot
613,Iwan_Tottle,thebufferstop
614,Iwan_Tottle,numanofficial
615,jon_yaxley,BBCWorld
616,jon_yaxley,BBCNews
617,whatisemerging,ExtinctionR
618,e_thunter,LindaHurrell
619,BITAIntl,brendonkenny
620,DianPink2,inacorruptworld
621,DianPink2,TheCurrentCBC
622,DianPink2,EXTINCTION
623,HappsHealthHome,richardjpyne
624,HappsHealthHome,ChuHoiDick
625,run_renewables,richardjpyne
626,run_renewables,ChuHoiDick
627,crouchendwalks,islingtongztte
628,crouchendwalks,EmilyThornberry
629,LindaHurrell,CarolineLucas
630,DaveOchman,CarolineLucas
631,51valdez,ViscountBraith1
632,ExtinctionR,richardjpyne
633,ExtinctionR,ChuHoiDick
634,omolere,GreenAwakening
635,collins_cambria,CiaranJOCarroll
636,bedlamswife,CourtNewsUK
637,hayling71,CourtNewsUK
638,SusanRi38784627,Macetrain
639,SusanRi38784627,rossthomson26
640,LTKelly84,HamishSHunter
641,RabbleChorus,JasonRylander
642,RabbleChorus,dwallacewells
643,poetslive,LSTateAuthor
644,poetslive,lisette_auton
645,poetslive,ClimateCultures
646,poetslive,sgc58
647,poetslive,ExtinctionR_DE
648,poetslive,StagingCha
649,ruthmagin,GreenAwakening
650,checkmail777,ToomeyWright
651,RabbleChorus,LordFlashy76
652,RabbleChorus,JuliaHB1
653,LSTateAuthor,lisette_auton
654,LSTateAuthor,ClimateCultures
655,LSTateAuthor,sgc58
656,LSTateAuthor,ExtinctionR_DE
657,thomaskuntzz,CiaranJOCarroll
658,inhollington,clivewaller
659,inhollington,JuliaHB1
660,MakereSH,CiaranJOCarroll
661,action_brexit,daveberkeleyuk
662,jcrgordon5,CarolineLucas
663,pacheen,CiaranJOCarroll
664,biltongboy77,JSinghF
665,biltongboy77,UKmacD
666,biltongboy77,SusanRi38784627
667,biltongboy77,JohnLang6
668,biltongboy77,lorraineSW1
669,biltongboy77,markargentLibDe
670,biltongboy77,tinabutton44
671,biltongboy77,Remoaniac
672,biltongboy77,kevin01736
673,biltongboy77,WidfordParish
674,biltongboy77,BILDERB
675,croc_el,JSinghF
676,croc_el,UKmacD
677,croc_el,SusanRi38784627
678,croc_el,JohnLang6
679,croc_el,lorraineSW1
680,croc_el,markargentLibDe
681,croc_el,tinabutton44
682,croc_el,Remoaniac
683,croc_el,kevin01736
684,croc_el,WidfordParish
685,croc_el,BILDERB
686,SonyaMcKay13,MarkRuffalo
687,SonyaMcKay13,100isNow
688,SonyaMcKay13,ChrisEvans
689,SonyaMcKay13,chrishemsworth
690,SonyaMcKay13,AnnastaciaMP
691,SonyaMcKay13,stopadani
692,SonyaMcKay13,AYCC
693,SonyaMcKay13,ShoebridgeMLC
694,SonyaMcKay13,algore
695,HenryPelly,jeremytill
696,loudlaughLDN,MullenLoweGroup
697,loudlaughLDN,ExtinctionR
698,loudlaughLDN,MullenLoweLDN
699,JSinghF,UKmacD
700,JSinghF,SusanRi38784627
701,JSinghF,JohnLang6
702,JSinghF,lorraineSW1
703,JSinghF,markargentLibDe
704,JSinghF,tinabutton44
705,JSinghF,Remoaniac
706,JSinghF,kevin01736
707,neeklamy,ChristinaBooks
708,neeklamy,centre_alt_tech
709,neeklamy,Laverstoke
710,neeklamy,FarmShopOrganic
711,neeklamy,BBCRadio4
712,PeteKennedy,CarolineLucas
713,fredpipes,CarolineLucas
714,MarshtownUK,CiaranJOCarroll
715,CazJonesNo1,OffGuardian0
716,CazJonesNo1,NellyTells
717,CazJonesNo1,elleprovocateur
718,CazJonesNo1,CompromisedNGOs
719,budget_kitchens,brendonkenny
720,PnmFestivalKit,juiceguruuk
721,ScarlettOWest,ScarlettOWest
722,ScarlettOWest,JimMFelton
723,DirkVansintjan,CarolineLucas
724,OffGuardian0,NellyTells
725,OffGuardian0,elleprovocateur
726,OffGuardian0,CompromisedNGOs
727,philrandal,alexforeurope
728,philrandal,Independent
729,Scott_Redding,alexforeurope
730,Scott_Redding,Independent
731,FernaldyRizky11,HillF1
732,damon_pang,richardjpyne
733,damon_pang,ChuHoiDick
734,ivyarch,alexforeurope
735,ivyarch,Independent
736,Stephen90182822,DVATW
737,visitingmartian,crossdale
738,Buggy86383748,Sinnerpaula
739,Buggy86383748,Femi_Sorry
740,Buggy86383748,jamesdeeganMC
741,NellyTells,OffGuardian0
742,danjomanjo1980,YouTube
743,Morgaine620,CiaranJOCarroll
744,IslingtonLabour,islingtongztte
745,IslingtonLabour,EmilyThornberry
746,IMchaffie,Fredthefish2
747,scoobiesnack0,ViscountBraith1
748,IOWGreenParty,SEYoungGreens
749,IOWGreenParty,alexforeurope
750,SEYoungGreens,alexforeurope
751,a_sharp_art,CiaranJOCarroll
752,Rupertsmum1953,Otto_English
753,Buggy86383748,Femi_Sorry
754,Buggy86383748,JacobArjun1
755,LatestTVBtn,CarolineLucas
756,ChristinaBayt,ExtinctRebelsIE
757,slay4ever007,JuliaHB1
758,slay4ever007,CarolineRussell
759,slay4ever007,theJeremyVine
760,RedInsight1000,azimuten
761,RedInsight1000,ExtinctionR
762,sheena_gillman,AlboMP
763,sheena_gillman,AustralianLabor
764,JohnMarcmail,ViolaM90
765,JohnMarcmail,Overgate
766,JohnMarcmail,ScotlandXr
767,JohnMarcmail,CiaranJOCarroll
768,EdinburghWatch,azimuten
769,EdinburghWatch,ExtinctionR
770,azimuten,ExtinctionR
771,HarrogateGreens,CarolineLucas
772,Privatecarfree,islingtongztte
773,AnnMolloy12,ExtinctRebelsIE
774,andrewleverart,CiaranJOCarroll
775,HamandHigh,islingtongztte
776,HamandHigh,EmilyThornberry
777,journoramzy,islingtongztte
778,journoramzy,EmilyThornberry
779,Matthieu1221,richardjpyne
780,Matthieu1221,ChuHoiDick
781,KayaJunction,islingtongztte
782,_sarahbarns,adamjohnrussell
783,islingtongztte,EmilyThornberry
784,TheGoonerholic,islingtongztte
785,EastleighGreens,CarolineLucas
786,ARIZONAVOICE,Fredthefish2
787,SebKing7,CiaranJOCarroll
788,SebKing7,ExtinctionR
789,SebKing7,ExtinctionR
790,trutherbot1333,Fredthefish2
791,GreenParr,CarolineLucas
792,loftyjester,Fredthefish2
793,raging9inferno,CiaranJOCarroll
794,NSGreenParty1,alexforeurope
795,NSGreenParty1,GMB
796,Unitycalling,ajcdeane
797,2dialogue,PriceofOil
798,2dialogue,BP_plc
799,2dialogue,the_
800,7dorothy7,JeremyVineOn5
801,_opinionchanger,GMB
802,_opinionchanger,RoryStewartUK
803,Unitycalling,NormalBloke6
804,Unitycalling,mollygiles2015
